Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,2,1,28.0,0,0,13.0,63,2
0,3,1,25.0,0,0,7.65,140,2
0,3,1,20.0,0,0,7.8542,47,2
0,3,0,29.0,0,4,21.075,47,2
0,1,1,31.0,1,0,52.0,38,2
0,3,1,37.0,2,0,7.925,145,2
0,3,1,19.0,0,0,14.5,145,2
1,3,0,1.0,0,2,15.7417,63,0
0,3,1,20.5,0,0,7.25,145,2
1,2,0,42.0,1,0,26.0,47,2
0,2,1,25.0,0,0,13.0,145,2
0,3,0,24.0,0,0,8.85,145,2
1,2,0,48.0,1,2,65.0,47,2
0,2,1,37.0,1,0,26.0,47,2
0,3,1,28.0,0,0,7.75,145,1
0,3,1,17.0,0,0,7.125,145,2
0,1,1,27.0,0,2,211.5,79,0
0,3,1,17.0,1,1,7.2292,145,0
0,2,1,32.0,2,0,73.5,63,2
1,1,1,38.0,1,0,90.0,87,2
1,3,0,28.0,0,0,7.7875,47,1
0,3,1,45.0,0,0,6.975,145,2
1,2,1,32.0,1,0,26.0,47,2
0,3,1,30.5,0,0,8.05,63,2
1,2,0,41.0,0,1,19.5,145,2
0,2,1,48.0,0,0,13.0,47,2
1,1,1,60.0,1,1,79.2,29,0
1,1,1,50.0,2,0,133.65,63,2
0,3,1,24.0,0,0,8.05,47,2
0,3,0,17.0,0,0,14.4583,63,0
0,3,1,19.0,0,0,8.05,47,2
0,2,1,25.0,1,0,26.0,145,2
0,1,1,28.0,0,0,221.7792,88,2
0,1,1,45.0,0,0,26.55,26,2
1,2,0,30.0,3,0,21.0,145,2
0,1,1,40.0,0,0,27.7208,145,0
0,2,1,34.0,1,0,21.0,63,2
1,1,1,28.0,0,0,26.55,71,2
0,3,1,36.0,0,0,7.4958,47,2
1,2,0,3.0,1,2,41.5792,63,0
1,2,0,40.0,0,0,13.0,145,2
0,3,1,32.0,0,0,7.75,145,1
0,2,1,34.0,1,0,26.0,47,2
0,3,0,16.0,5,2,46.9,63,2
0,3,1,42.0,0,1,8.4042,47,2
1,1,0,28.0,0,0,110.8833,145,0
0,3,1,25.0,0,0,7.7417,63,1
0,3,1,7.0,4,1,39.6875,47,2
0,2,1,23.0,0,0,10.5,47,2
0,2,1,28.0,0,0,13.5,47,2
0,1,1,28.0,0,0,50.0,9,2
0,3,1,50.0,0,0,8.05,47,2
1,3,1,28.0,0,0,8.1125,47,2
1,3,1,32.0,0,0,56.4958,63,2
1,3,1,32.0,0,0,56.4958,145,2
0,3,1,44.0,0,0,8.05,145,2
0,1,1,28.0,0,0,30.6958,63,0
0,3,1,70.5,0,0,7.75,47,1
0,2,1,25.0,1,2,41.5792,145,0
0,1,1,30.0,0,0,27.75,53,0
1,1,0,22.0,1,0,66.6,61,2
0,3,0,41.0,0,5,39.6875,47,2
1,1,0,30.0,0,0,106.425,145,0
1,2,0,27.0,0,0,10.5,116,2
0,3,1,7.0,4,1,29.125,63,1
0,3,0,31.0,0,0,7.8542,63,2
0,3,1,20.0,0,0,9.8458,145,2
0,2,1,27.0,0,0,13.0,63,2
0,2,1,30.0,0,0,10.5,63,2
1,1,0,48.0,0,0,25.9292,94,2
0,3,0,26.0,1,0,16.1,47,2
1,3,0,19.0,0,0,7.8792,145,1
1,1,1,27.0,0,0,30.5,47,2
1,2,0,28.0,0,0,12.65,145,2
0,3,1,19.0,0,0,7.8958,145,2
0,3,1,40.0,0,0,7.225,63,0
1,2,0,35.0,0,0,21.0,47,2
0,1,1,28.0,0,0,27.7208,63,0
1,3,0,28.0,0,0,7.8792,47,1
1,3,0,26.0,0,0,7.8542,47,2
0,3,0,28.0,0,0,8.05,145,2
0,3,0,28.0,0,0,8.05,47,2
1,2,1,0.67,1,1,14.5,145,2
0,3,1,24.0,1,0,16.1,63,2
0,3,1,28.0,0,0,6.95,47,1
0,3,1,20.0,0,0,9.5,63,2
0,3,1,26.0,0,0,7.8875,47,2
1,1,0,36.0,0,2,71.0,20,2
0,1,1,62.0,0,0,26.55,47,2
0,3,1,28.0,0,0,7.05,145,2
1,3,0,31.0,1,1,20.525,47,2
1,1,0,43.0,0,1,211.3375,22,2
1,1,0,38.0,0,0,227.525,66,0
0,3,0,18.0,1,0,17.8,63,2
0,3,1,28.0,0,0,8.05,63,2
0,3,1,28.0,0,0,7.2292,63,0
0,3,1,33.0,0,0,7.8958,47,0
0,3,0,28.0,1,2,23.45,63,2
1,1,0,28.0,1,0,146.5208,41,0
0,3,1,28.0,0,0,8.05,63,2
0,3,1,28.0,0,0,7.75,145,1
0,3,1,28.0,0,0,6.8583,145,1
0,3,1,2.0,4,1,39.6875,145,2
1,3,1,27.0,0,0,6.975,47,2
0,3,1,30.0,0,0,7.225,63,0
0,3,1,38.0,0,0,7.05,145,2
0,3,1,28.0,0,0,7.8292,145,1
0,3,0,28.0,0,2,15.2458,63,0
0,3,0,28.0,8,2,69.55,63,2
0,3,1,24.0,2,0,24.15,63,2
1,1,1,40.0,0,0,31.0,8,0
1,3,1,3.0,1,1,15.9,47,2
0,2,1,39.0,0,0,26.0,145,2
0,3,1,25.0,0,0,7.8958,47,2
1,3,1,29.0,0,0,9.5,47,2
0,1,1,28.0,0,0,35.0,59,2
0,3,1,17.0,0,0,8.6625,145,2
1,3,1,20.0,0,0,7.2292,47,0
0,3,1,34.0,1,1,14.4,145,2
0,3,1,22.0,0,0,7.5208,145,2
0,3,0,22.0,0,0,10.5167,63,2
0,3,1,19.0,0,0,10.1708,145,2
0,1,1,55.0,0,0,30.5,64,2
1,1,1,56.0,0,0,35.5,7,0
1,3,1,45.0,0,0,8.05,63,2
0,3,1,28.0,0,0,7.8958,47,2
1,3,1,32.0,0,0,7.925,145,2
0,3,1,20.0,0,0,9.225,47,2
1,1,1,28.0,0,0,35.5,71,2
0,2,1,24.0,0,0,10.5,145,2
0,3,1,26.0,0,0,8.05,145,2
1,3,0,22.0,0,0,7.75,145,1
0,3,1,59.0,0,0,7.25,47,2
0,3,1,28.0,0,0,7.25,63,2
1,2,0,28.0,0,0,33.0,47,2
